Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1792,5007891837,chicksdigthewongball (1/5),0,121.41999,DST Giants  FLEX Kenneth Gainwell QB Jacoby Brissett RB Bijan Robinson RB Quinshon Judkins TE Darren Waller WR Amon-Ra St. Brown WR Jakobi Meyers WR Xavier Worthy,,,
1794,5006773839,zestfulyclean (5/5),0,121.340004,DST Buccaneers  FLEX Bijan Robinson QB Aaron Rodgers RB Chase Brown RB Aaron Jones Sr. TE Darren Waller WR Amon-Ra St. Brown WR DK Metcalf WR Hollywood Brown,,,
1795,5008177182,borbor (5/5),0,121.31999,DST Texans  FLEX DK Metcalf QB Tyler Shough RB Jahmyr Gibbs RB Bucky Irving TE Juwan Johnson WR Justin Jefferson WR Tetairoa McMillan WR John Metchie III,,,
1796,5005715931,EnricoPalatzo (5/5),0,121.3,DST Texans  FLEX Kenneth Gainwell QB Quinn Ewers RB De'Von Achane RB Jahmyr Gibbs TE Darren Waller WR Ladd McConkey WR DK Metcalf WR Adonai Mitchell,,,
1796,5008196222,crammerton (1/5),0,121.3,DST Texans  FLEX Brenton Strange QB Josh Allen RB Jahmyr Gibbs RB Aaron Jones Sr. TE Harold Fannin Jr. WR Tetairoa McMillan WR DK Metcalf WR Khalil Shakir,,,
1798,5007438374,Free_Mason7 (1/5),0,121.27999,DST Texans  FLEX Evan Engram QB Bo Nix RB De'Von Achane RB Audric Estime TE Kyle Pitts Sr. WR Jameson Williams WR Courtland Sutton WR Jakobi Meyers,,,
1799,5008186595,MakeItRain84 (3/5),0,121.259995,DST Titans  FLEX Darren Waller QB Joe Burrow RB De'Von Achane RB Michael Carter TE Travis Kelce WR Ja'Marr Chase WR Mike Evans WR Pat Bryant,,,
1799,5004082611,wakeringer (3/5),0,121.25999,DST Raiders  FLEX Jahmyr Gibbs QB Jared Goff RB Bucky Irving RB Jaylen Warren TE Darnell Washington WR Amon-Ra St. Brown WR Jalen Coker WR Xavier Worthy,,,
1801,5005705085,stevencurran (1/5),0,121.22001,DST Lions  FLEX Rico Dowdle QB Tyler Shough RB Breece Hall RB Audric Estime TE Jake Ferguson WR Nico Collins WR Chris Olave WR Tetairoa McMillan,,,
1801,5007211046,connerz1 (2/5),0,121.21999,DST Jets  FLEX Jahmyr Gibbs QB J.J. McCarthy RB Bijan Robinson RB Tyrone Tracy Jr. TE T.J. Hockenson WR Justin Jefferson WR Courtland Sutton WR DK Metcalf,,,
1801,5007599622,Jonesy2544,0,121.21999,DST Bengals  FLEX Bijan Robinson QB Jacoby Brissett RB Jahmyr Gibbs RB Omarion Hampton TE Darren Waller WR Mike Evans WR DK Metcalf WR Hollywood Brown,,,
1801,5005703750,jdash0023,0,121.219986,DST Vikings  FLEX DK Metcalf QB Jacoby Brissett RB Jahmyr Gibbs RB Jawhar Jordan TE Travis Kelce WR Mike Evans WR Tetairoa McMillan WR Courtland Sutton,,,
1805,5007366309,dtfd923,0,121.20001,DST Browns  FLEX Adonai Mitchell QB Quinn Ewers RB Chase Brown RB Omarion Hampton TE Darren Waller WR Ja'Marr Chase WR Amon-Ra St. Brown WR Ladd McConkey,,,
1805,5007497282,trippingbilly (3/5),0,121.200005,DST Bills  FLEX Theo Johnson QB Justin Herbert RB Jahmyr Gibbs RB Aaron Jones Sr. TE Jake Ferguson WR Amon-Ra St. Brown WR DK Metcalf WR Quentin Johnston,,,
1805,5006851303,VinoRosso (1/3),0,121.2,DST Lions  FLEX Kyle Pitts Sr. QB Justin Herbert RB Bijan Robinson RB Javonte Williams TE Oronde Gadsden II WR Michael Wilson WR Ladd McConkey WR Jalen Nailor,,,
1805,5007908676,DonkeyPunchers (3/5),0,121.19999,DST Texans  FLEX DK Metcalf QB Baker Mayfield RB Jahmyr Gibbs RB Michael Carter TE Harold Fannin Jr. WR Mike Evans WR Tetairoa McMillan WR Xavier Worthy,,,
1809,5007977604,thedetailer11 (5/5),0,121.17999,DST Jets  FLEX Bijan Robinson QB C.J. Stroud RB Jahmyr Gibbs RB Tony Pollard TE Brenton Strange WR Mike Evans WR DK Metcalf WR Jayden Higgins,,,
1810,5007966075,sprom (5/5),0,121.100006,DST Jets  FLEX Kenneth Gainwell QB Baker Mayfield RB Jahmyr Gibbs RB Michael Carter TE Darren Waller WR Nico Collins WR Mike Evans WR Tetairoa McMillan,,,
1811,5006727531,MuScLeS_MaLeNaD (2/5),0,121.079994,DST Vikings  FLEX Jahmyr Gibbs QB Bo Nix RB Aaron Jones Sr. RB Jawhar Jordan TE Evan Engram WR Amon-Ra St. Brown WR Courtland Sutton WR DK Metcalf,,,
1812,5007656211,kmikef84 (1/5),0,121.06,DST Vikings  FLEX Aaron Jones Sr. QB Joe Burrow RB De'Von Achane RB Quinshon Judkins TE Darren Waller WR Ja'Marr Chase WR Xavier Worthy WR Jayden Higgins,,,
1812,5004569616,ccampbell29 (5/5),0,121.05999,DST Jets  FLEX Amon-Ra St. Brown QB Jared Goff RB Bijan Robinson RB Michael Carter TE Darren Waller WR Courtland Sutton WR DK Metcalf WR Xavier Worthy,,,
1814,5008168984,shmenda,0,121.02,DST Bills  FLEX Bijan Robinson QB Tyler Shough RB Jahmyr Gibbs RB Audric Estime TE Darren Waller WR Amon-Ra St. Brown WR Pat Bryant WR Mason Tipton,,,
1815,5007608068,gohssob (3/5),0,120.979996,DST Saints  FLEX Audric Estime QB Bo Nix RB De'Von Achane RB Rico Dowdle TE Evan Engram WR Mike Evans WR Courtland Sutton WR Jakobi Meyers,,,
1815,5008130528,crclngthdrn (2/5),0,120.979996,DST Chargers  FLEX Michael Carter QB C.J. Stroud RB Bijan Robinson RB Jahmyr Gibbs TE Dalton Schultz WR Courtland Sutton WR Jakobi Meyers WR Jayden Higgins,,,
1817,5008045642,nicolet12 (2/2),0,120.94,DST Saints  FLEX Dalton Kincaid QB Aaron Rodgers RB De'Von Achane RB James Cook III TE Brenton Strange WR Justin Jefferson WR Emeka Egbuka WR Jordan Addison,,,
1817,5006770521,agwt23 (1/5),0,120.93999,DST Chargers  FLEX Hollywood Brown QB Bryce Young RB Bijan Robinson RB Omarion Hampton TE Trey McBride WR Mike Evans WR Tetairoa McMillan WR Jalen Coker,,,
1819,5005080021,gingerhammers (3/5),0,120.92,DST Saints  FLEX Kyle Pitts Sr. QB Jacoby Brissett RB Bijan Robinson RB Audric Estime TE Trey McBride WR Michael Wilson WR Xavier Worthy WR Pat Bryant,,,
1819,5007705402,bc1225 (2/2),0,120.92,DST Titans  FLEX Kevin Austin Jr. QB Tyler Shough RB Jahmyr Gibbs RB Omarion Hampton TE Juwan Johnson WR Amon-Ra St. Brown WR Michael Wilson WR DK Metcalf,,,
1821,5006690427,stabber73 (4/5),0,120.9,DST Vikings  FLEX Jalen Nailor QB Quinn Ewers RB De'Von Achane RB Chase Brown TE Darren Waller WR Ja'Marr Chase WR Jameson Williams WR DK Metcalf,,,
1822,5005883765,H1ssarlik40 (1/3),0,120.88,DST Vikings  FLEX Brian Thomas Jr. QB Bo Nix RB Bijan Robinson RB RJ Harvey TE Theo Johnson WR Drake London WR Courtland Sutton WR Jalen Coker,,,
1823,5006827021,corybeast5 (2/3),0,120.86,DST Texans  FLEX Oronde Gadsden II QB Jared Goff RB Michael Carter RB Jawhar Jordan TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jameson Williams WR Tetairoa McMillan,,,
1823,5006621060,watson124455 (2/5),0,120.85999,DST Bengals  FLEX T.J. Hockenson QB Jared Goff RB De'Von Achane RB Bijan Robinson TE Darnell Washington WR Amon-Ra St. Brown WR Jameson Williams WR Tre' Harris,,,
1823,5006741388,vbeigelman (4/5),0,120.85999,DST Jets  FLEX Amon-Ra St. Brown QB Jared Goff RB Jahmyr Gibbs RB Aaron Jones Sr. TE Darren Waller WR Tetairoa McMillan WR DK Metcalf WR Keenan Allen,,,
1823,5007096998,james.walsh (3/5),0,120.85999,DST Jets  FLEX DK Metcalf QB Jared Goff RB Jahmyr Gibbs RB Kenneth Gainwell TE Darren Waller WR Amon-Ra St. Brown WR Jameson Williams WR Jerry Jeudy,,,
1823,5007593270,beng4800 (3/5),0,120.85999,DST Bills  FLEX Amon-Ra St. Brown QB Jared Goff RB Ashton Jeanty RB Aaron Jones Sr. TE Travis Kelce WR Jameson Williams WR DK Metcalf WR Xavier Worthy,,,
1828,5005115124,arun22183 (4/5),0,120.84,DST Texans  FLEX Kyle Pitts Sr. QB Aaron Rodgers RB Jahmyr Gibbs RB Michael Carter TE Harold Fannin Jr. WR Amon-Ra St. Brown WR DK Metcalf WR Pat Bryant,,,
1829,5006433262,VIP_Swag (4/5),0,120.82,DST Bengals  FLEX Bijan Robinson QB Jacoby Brissett RB Omarion Hampton RB Aaron Jones Sr. TE Juwan Johnson WR Drake London WR Courtland Sutton WR Marvin Harrison Jr.,,,
1829,5006874839,rxendaddy (2/5),0,120.82,DST Jets  FLEX Darnell Washington QB Jacoby Brissett RB Jahmyr Gibbs RB Ashton Jeanty TE Kyle Pitts Sr. WR Amon-Ra St. Brown WR Drake London WR DK Metcalf,,,
1831,5007980681,richop,0,120.79999,DST Saints  FLEX Jalen Coker QB Quinn Ewers RB De'Von Achane RB Bijan Robinson TE Darren Waller WR Michael Wilson WR Jameson Williams WR Hollywood Brown,,,
1832,5006683155,baker3172,0,120.78,DST Saints  FLEX Pat Bryant QB Bo Nix RB De'Von Achane RB Audric Estime TE Trey McBride WR Ja'Marr Chase WR Elic Ayomanor WR Tre' Harris,,,
1833,5007525372,sgermani (5/5),0,120.700005,DST Falcons  FLEX Oronde Gadsden II QB Justin Herbert RB Jahmyr Gibbs RB Javonte Williams TE Harold Fannin Jr. WR Mike Evans WR Ladd McConkey WR Brian Thomas Jr.,,,
1833,5001517701,gdun803,0,120.7,DST Broncos  FLEX Jalen Coker QB Justin Herbert RB Bijan Robinson RB Javonte Williams TE Oronde Gadsden II WR Mike Evans WR Justin Jefferson WR Keenan Allen,,,
1833,5001888893,Wafflemouse (3/5),0,120.7,DST Saints  FLEX Brenton Strange QB Gardner Minshew II RB De'Von Achane RB Bijan Robinson TE Juwan Johnson WR Amon-Ra St. Brown WR Xavier Worthy WR Hollywood Brown,,,
1833,5004076790,steaminsteve,0,120.7,DST Texans  FLEX Jameson Williams QB Justin Herbert RB De'Von Achane RB Aaron Jones Sr. TE Darren Waller WR DK Metcalf WR Troy Franklin WR Keenan Allen,,,
1833,5007512071,JuicesDad (1/3),0,120.7,DST Titans  FLEX Bijan Robinson QB Quinn Ewers RB Bucky Irving RB Tony Pollard TE Darren Waller WR Ja'Marr Chase WR Justin Jefferson WR Adonai Mitchell,,,
1838,5007341397,Jazzraz (3/5),0,120.659996,DST Titans  FLEX Evan Engram QB Jared Goff RB De'Von Achane RB Omarion Hampton TE Darnell Washington WR Amon-Ra St. Brown WR Jameson Williams WR Mike Evans,,,
1838,5007925486,willyswisdom (2/5),0,120.65999,DST Saints  FLEX Amon-Ra St. Brown QB Jared Goff RB Michael Carter RB Aaron Jones Sr. TE Kyle Pitts Sr. WR Jameson Williams WR DK Metcalf WR Xavier Worthy,,,
1840,5004336818,bookiepriest (2/5),0,120.619995,DST Panthers  FLEX Trey McBride QB Jacoby Brissett RB Jahmyr Gibbs RB Kenneth Gainwell TE Darren Waller WR Justin Jefferson WR Courtland Sutton WR Jakobi Meyers,,,
1841,5002059576,kbreardonPGA (5/5),0,120.579994,DST Titans  FLEX Trey McBride QB Bo Nix RB Jahmyr Gibbs RB Audric Estime TE Brenton Strange WR Courtland Sutton WR DK Metcalf WR Troy Franklin,,,
1841,5004275703,sfleck334 (1/5),0,120.579994,DST Bengals  FLEX Courtland Sutton QB Bo Nix RB Bijan Robinson RB Javonte Williams TE Darren Waller WR Mike Evans WR Jakobi Meyers WR Chris Godwin Jr.,,,
1841,5007018259,loanarranger1 (3/3),0,120.579994,DST Broncos  FLEX Kyle Pitts Sr. QB Kirk Cousins RB Bijan Robinson RB Jawhar Jordan TE Evan Engram WR Drake London WR Michael Wilson WR Jameson Williams,,,
1841,5007207673,ilanwor (3/3),0,120.57999,DST Steelers  FLEX Trey McBride QB Kirk Cousins RB RJ Harvey RB Kenneth Gainwell TE Mike Gesicki WR Drake London WR Michael Wilson WR Jameson Williams,,,
1845,5007496397,mtdrisc (1/5),0,120.56,DST Titans  FLEX Amon-Ra St. Brown QB Jared Goff RB Jahmyr Gibbs RB Michael Carter TE Dalton Schultz WR Jameson Williams WR Keenan Allen WR Isaiah Williams,,,
1845,5006203381,kraner61,0,120.55999,DST Texans  FLEX Jahmyr Gibbs QB Jared Goff RB Kareem Hunt RB Aaron Jones Sr. TE Harold Fannin Jr. WR Jameson Williams WR DK Metcalf WR Xavier Worthy,,,
1847,5005838587,centaur83 (2/5),0,120.52,DST Vikings  FLEX Jameson Williams QB Jacoby Brissett RB Bijan Robinson RB Kenneth Gainwell TE Trey McBride WR Mike Evans WR Jalen Coker WR Kevin Austin Jr.,,,
1847,5006868212,puffyfacedmanpuppets,0,120.52,DST Texans  FLEX Kenneth Gainwell QB J.J. McCarthy RB De'Von Achane RB Bijan Robinson TE Mike Gesicki WR Nico Collins WR Hollywood Brown WR Jalen Nailor,,,
1847,5007824941,Danlux (2/2),0,120.52,DST Texans  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB Michael Carter TE Harold Fannin Jr. WR Amon-Ra St. Brown WR DK Metcalf WR Xavier Worthy,,,
1850,5004504859,robgiuliano (2/5),0,120.49999,DST Saints  FLEX Dalton Schultz QB Baker Mayfield RB Bucky Irving RB Michael Carter TE Juwan Johnson WR Amon-Ra St. Brown WR Mike Evans WR Tetairoa McMillan,,,
1850,5006372941,BigMart11 (1/5),0,120.49999,DST Vikings  FLEX De'Von Achane QB Gardner Minshew II RB Bijan Robinson RB Jahmyr Gibbs TE Darnell Washington WR Courtland Sutton WR Xavier Worthy WR Hollywood Brown,,,
1850,5007218399,Bradenmkelly (2/5),0,120.49999,DST Saints  FLEX Bijan Robinson QB Gardner Minshew II RB Jahmyr Gibbs RB Omarion Hampton TE Travis Kelce WR Mike Evans WR Xavier Worthy WR Pat Bryant,,,
1853,5005451305,EnricoPalatzo (1/5),0,120.46,DST Jaguars  FLEX Michael Carter QB Jared Goff RB Jahmyr Gibbs RB Kenneth Gainwell TE Darren Waller WR Amon-Ra St. Brown WR DK Metcalf WR Adonai Mitchell,,,
1853,5001638650,charlierunkle (4/5),0,120.45999,DST Vikings  FLEX Jameson Williams QB Jared Goff RB De'Von Achane RB Kenneth Gainwell TE Darren Waller WR Amon-Ra St. Brown WR DK Metcalf WR Marquez Valdes-Scantling,,,
1853,5004329630,bowl4doe (4/5),0,120.45999,DST Bengals  FLEX Jordan Addison QB Jared Goff RB Bijan Robinson RB Michael Carter TE Pat Freiermuth WR Amon-Ra St. Brown WR Tetairoa McMillan WR Keenan Allen,,,
1856,5008227520,davefulche,0,120.439995,DST Jets  FLEX Jahmyr Gibbs QB Bryce Young RB Bijan Robinson RB Bucky Irving TE Greg Dulcich WR Michael Wilson WR Tetairoa McMillan WR Jalen Nailor,,,
1857,5008123717,redbrick22 (4/5),0,120.42,DST Texans  FLEX Dalton Schultz QB Jacoby Brissett RB Bijan Robinson RB Jahmyr Gibbs TE Greg Dulcich WR Amon-Ra St. Brown WR DK Metcalf WR Isaiah Williams,,,
1858,5005702966,rcoon6,0,120.4,DST Texans  FLEX Michael Carter QB Justin Herbert RB Travis Etienne Jr. RB Rico Dowdle TE Oronde Gadsden II WR Ladd McConkey WR Courtland Sutton WR DK Metcalf,,,
1858,5005566645,Stosh82 (5/5),0,120.399994,DST Vikings  FLEX Courtland Sutton QB Gardner Minshew II RB Bijan Robinson RB Jahmyr Gibbs TE Travis Kelce WR Mike Evans WR Xavier Worthy WR Chimere Dike,,,
1860,5007748994,Cliffx,0,120.38,DST Giants  FLEX Nico Collins QB C.J. Stroud RB Bijan Robinson RB Michael Carter TE Juwan Johnson WR Mike Evans WR Troy Franklin WR Xavier Worthy,,,
1861,5005855235,dylpicks (1/5),0,120.36,DST Giants  FLEX Keenan Allen QB Jared Goff RB Jahmyr Gibbs RB Tyrone Tracy Jr. TE Mike Gesicki WR Amon-Ra St. Brown WR Jameson Williams WR David Sills V,,,
1861,5007884127,Crys8U,0,120.36,DST Vikings  FLEX Jameson Williams QB Jared Goff RB James Cook III RB Audric Estime TE Darren Waller WR Amon-Ra St. Brown WR DK Metcalf WR Adonai Mitchell,,,
1861,5008075136,Sly267 (4/5),0,120.36,DST Texans  FLEX Dawson Knox QB Joe Burrow RB Omarion Hampton RB Aaron Jones Sr. TE Jonnu Smith WR Ja'Marr Chase WR Nico Collins WR Jameson Williams,,,
1861,5008108484,RichGreen4 (3/5),0,120.36,DST Texans  FLEX Evan Engram QB Trevor Lawrence RB Bijan Robinson RB Michael Carter TE Brenton Strange WR Amon-Ra St. Brown WR DK Metcalf WR Brian Thomas Jr.,,,
1865,5006106542,scout326 (5/5),0,120.34,DST Bengals  FLEX Harold Fannin Jr. QB Aaron Rodgers RB Jahmyr Gibbs RB Breece Hall TE Juwan Johnson WR CeeDee Lamb WR Jameson Williams WR DK Metcalf,,,
1865,5006567920,Monktified (4/5),0,120.34,DST Browns  FLEX Dalton Schultz QB Bryce Young RB Bijan Robinson RB Michael Carter TE Kyle Pitts Sr. WR Amon-Ra St. Brown WR Mike Evans WR Jalen Coker,,,
1865,5006913458,TheManTheMyth97 (4/5),0,120.34,DST Browns  FLEX Brian Thomas Jr. QB Aaron Rodgers RB Bijan Robinson RB Jahmyr Gibbs TE Darnell Washington WR Jameson Williams WR Courtland Sutton WR DK Metcalf,,,
1868,5006716013,TtheLEE71 (1/5),0,120.32,DST Texans  FLEX James Cook III QB J.J. McCarthy RB De'Von Achane RB Jahmyr Gibbs TE Harold Fannin Jr. WR Adonai Mitchell WR Jalen Nailor WR Isaiah Bond,,,
1868,5007718395,rgains (1/3),0,120.32,DST Chargers  FLEX Jawhar Jordan QB Tyler Shough RB De'Von Achane RB Bijan Robinson TE Darnell Washington WR Nico Collins WR Jameson Williams WR Adam Thielen,,,
1868,5001917846,Sportmeister77 (1/5),0,120.31999,DST Bengals  FLEX DK Metcalf QB Jacoby Brissett RB Bijan Robinson RB Jahmyr Gibbs TE Brenton Strange WR Michael Wilson WR Jalen Coker WR Xavier Worthy,,,
1871,5007372411,berger333,0,120.3,DST Texans  FLEX Trey McBride QB Quinn Ewers RB Chase Brown RB Kenneth Gainwell TE Darren Waller WR Amon-Ra St. Brown WR Justin Jefferson WR Xavier Worthy,,,
1872,5007788270,tinderella (2/5),0,120.28001,DST Titans  FLEX Juwan Johnson QB C.J. Stroud RB Jahmyr Gibbs RB Aaron Jones Sr. TE Harold Fannin Jr. WR CeeDee Lamb WR Nico Collins WR Adonai Mitchell,,,
1873,5006736618,MRKC (5/5),0,120.259995,DST Broncos  FLEX Audric Estime QB Jared Goff RB Bijan Robinson RB Quinshon Judkins TE Evan Engram WR Jameson Williams WR Justin Jefferson WR DK Metcalf,,,
1873,5007184745,bravehart13 (5/5),0,120.259995,DST Chargers  FLEX Tetairoa McMillan QB Jared Goff RB Bucky Irving RB Kenneth Gainwell TE Darren Waller WR Amon-Ra St. Brown WR Jameson Williams WR DK Metcalf,,,
1875,5007977603,thedetailer11 (4/5),0,120.21999,DST Jets  FLEX Bijan Robinson QB J.J. McCarthy RB Jahmyr Gibbs RB Tony Pollard TE Brenton Strange WR Tee Higgins WR DK Metcalf WR Jayden Higgins,,,
1876,5004366944,SportsGambler2020 (3/5),0,120.14,DST Giants  FLEX James Cook III QB Bryce Young RB Quinshon Judkins RB Kimani Vidal TE Dalton Schultz WR Nico Collins WR Ladd McConkey WR DK Metcalf,,,
1876,5007184685,bravehart13 (4/5),0,120.13999,DST Jets  FLEX Bijan Robinson QB Aaron Rodgers RB Jahmyr Gibbs RB Kenneth Gainwell TE Trey McBride WR DK Metcalf WR Jalen Coker WR Marquez Valdes-Scantling,,,
1878,5007400015,rayofhope (2/5),0,120.119995,DST Saints  FLEX Jordan Addison QB J.J. McCarthy RB Bijan Robinson RB Quinshon Judkins TE T.J. Hockenson WR Ja'Marr Chase WR Justin Jefferson WR Jalen Coker,,,
1879,5006863535,eagles51020 (4/5),0,120.079994,DST Bengals  FLEX Harold Fannin Jr. QB Bo Nix RB Jahmyr Gibbs RB Javonte Williams TE Travis Kelce WR Justin Jefferson WR Courtland Sutton WR Jakobi Meyers,,,
1879,5008003725,LightsCamAction (1/3),0,120.079994,DST Bengals  FLEX Justin Jefferson QB Bo Nix RB Rico Dowdle RB Tyrone Tracy Jr. TE Trey McBride WR Courtland Sutton WR Troy Franklin WR Quentin Johnston,,,
1881,5001358354,jpd2345,0,120.020004,DST Texans  FLEX Jahmyr Gibbs QB J.J. McCarthy RB Quinshon Judkins RB Kenneth Gainwell TE T.J. Hockenson WR Jameson Williams WR Ladd McConkey WR Justin Jefferson,,,
1881,5005981645,ahayet1 (5/5),0,120.02,DST Vikings  FLEX Javonte Williams QB Tyler Shough RB Aaron Jones Sr. RB Audric Estime TE Darnell Washington WR Amon-Ra St. Brown WR Nico Collins WR Chris Olave,,,
1881,5007977602,thedetailer11 (3/5),0,120.02,DST Jets  FLEX Bijan Robinson QB J.J. McCarthy RB Tyrone Tracy Jr. RB Tony Pollard TE Harold Fannin Jr. WR Michael Wilson WR Jameson Williams WR DK Metcalf,,,
1881,5008201673,shadydoz (1/5),0,120.01999,DST Titans  FLEX DK Metcalf QB J.J. McCarthy RB Jahmyr Gibbs RB Javonte Williams TE Dalton Schultz WR Mike Evans WR Justin Jefferson WR Tetairoa McMillan,,,
1885,5002321220,doctor1004 (1/5),0,119.99999,DST Vikings  FLEX Justin Jefferson QB Baker Mayfield RB Jahmyr Gibbs RB James Cook III TE Travis Kelce WR Mike Evans WR Jalen Coker WR Hollywood Brown,,,
1886,5006978877,oh4sho2015 (1/2),0,119.95999,DST Bengals  FLEX Pat Freiermuth QB Joe Burrow RB Bijan Robinson RB David Montgomery TE Oronde Gadsden II WR Ja'Marr Chase WR Jameson Williams WR DK Metcalf,,,
1887,5005482787,EnricoPalatzo (2/5),0,119.94,DST Texans  FLEX Jahmyr Gibbs QB Bryce Young RB Omarion Hampton RB Audric Estime TE Darren Waller WR Mike Evans WR Emeka Egbuka WR Tetairoa McMillan,,,
1888,5006679854,haggs11 (5/5),0,119.899994,DST Saints  FLEX Travis Kelce QB Gardner Minshew II RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Mike Evans WR DK Metcalf WR Xavier Worthy,,,
1888,5007222764,Bradenmkelly (3/5),0,119.899994,DST Texans  FLEX Oronde Gadsden II QB Justin Herbert RB Bijan Robinson RB Michael Carter TE Travis Kelce WR Mike Evans WR Ladd McConkey WR Jalen Coker,,,
1888,5007831209,allen69 (3/5),0,119.899994,DST Jets  FLEX Dawson Knox QB Josh Allen RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Courtland Sutton WR DK Metcalf WR Xavier Worthy,,,
1891,5007984508,pbpundit,0,119.88,DST Jaguars  FLEX Kenneth Gainwell QB C.J. Stroud RB Bijan Robinson RB Travis Etienne Jr. TE Darren Waller WR Nico Collins WR Chris Godwin Jr. WR Adonai Mitchell,,,
1892,5004128425,Sorrymatt2 (3/5),0,119.85999,DST Bengals  FLEX Theo Johnson QB Jared Goff RB Jahmyr Gibbs RB James Cook III TE Darnell Washington WR Amon-Ra St. Brown WR Jameson Williams WR Hollywood Brown,,,
1893,5007571066,c2thea (3/5),0,119.81999,DST Titans  FLEX Jakobi Meyers QB Jacoby Brissett RB Bijan Robinson RB Michael Carter TE Kyle Pitts Sr. WR Amon-Ra St. Brown WR Tetairoa McMillan WR Marvin Mims Jr.,,,
1894,5007840841,tbuck2032 (5/5),0,119.799995,DST Jets  FLEX David Montgomery QB Baker Mayfield RB Bijan Robinson RB RJ Harvey TE Dalton Schultz WR Jameson Williams WR Mike Evans WR DK Metcalf,,,
1895,5002080634,mohawk86 (3/5),0,119.78,DST Titans  FLEX Jahmyr Gibbs QB Kirk Cousins RB De'Von Achane RB RJ Harvey TE Darren Waller WR Drake London WR Keenan Allen WR Hollywood Brown,,,
1896,5007416489,rtwcandy2021,0,119.759995,DST Raiders  FLEX Xavier Worthy QB Jared Goff RB Jahmyr Gibbs RB Kenneth Gainwell TE Darren Waller WR Amon-Ra St. Brown WR Jameson Williams WR DK Metcalf,,,
1897,5008202879,Philnomenon (4/5),0,119.74,DST Titans  FLEX Trey McBride QB Jacoby Brissett RB Aaron Jones Sr. RB Kenneth Gainwell TE Taysom Hill WR Ja'Marr Chase WR Amon-Ra St. Brown WR Jalen Coker,,,
1898,5007435774,jgrady108,0,119.7,DST Titans  FLEX DK Metcalf QB Quinn Ewers RB Jahmyr Gibbs RB Michael Carter TE Darren Waller WR Ja'Marr Chase WR Mike Evans WR Tetairoa McMillan,,,
1898,5008142876,bvbuscem (2/5),0,119.7,DST Titans  FLEX DK Metcalf QB Quinn Ewers RB Jahmyr Gibbs RB Michael Carter TE Darren Waller WR Ja'Marr Chase WR Mike Evans WR Tetairoa McMillan,,,
1900,5007118486,huskylokz (4/5),0,119.68,DST Titans  FLEX DK Metcalf QB C.J. Stroud RB Bijan Robinson RB Jahmyr Gibbs TE Dalton Schultz WR Nico Collins WR Chimere Dike WR Jalen Nailor,,,
1900,5005728627,dlb536,0,119.67999,DST Browns  FLEX Jameson Williams QB C.J. Stroud RB James Cook III RB Audric Estime TE Harold Fannin Jr. WR Nico Collins WR Courtland Sutton WR DK Metcalf,,,
1902,5006457088,danr111 (4/5),0,119.66,DST Texans  FLEX Oronde Gadsden II QB Trevor Lawrence RB RJ Harvey RB Michael Carter TE Brenton Strange WR Amon-Ra St. Brown WR Tee Higgins WR Jakobi Meyers,,,
1903,5008195042,officialcraigy (4/5),0,119.64,DST Jets  FLEX Kenneth Gainwell QB Aaron Rodgers RB Bijan Robinson RB Breece Hall TE Theo Johnson WR Amon-Ra St. Brown WR Courtland Sutton WR DK Metcalf,,,
1904,5005055928,bigwheelio (3/5),0,119.59999,DST Titans  FLEX Trey McBride QB Baker Mayfield RB Bijan Robinson RB Aaron Jones Sr. TE Darren Waller WR Mike Evans WR Tetairoa McMillan WR Jalen Coker,,,
1905,5004460943,mrrutexas (3/3),0,119.579994,DST Giants  FLEX Kenneth Gainwell QB C.J. Stroud RB Jahmyr Gibbs RB Breece Hall TE Dalton Schultz WR Amon-Ra St. Brown WR DK Metcalf WR Xavier Worthy,,,
1905,5006075337,ujordan,0,119.579994,DST Texans  FLEX Marvin Mims Jr. QB C.J. Stroud RB Jahmyr Gibbs RB Kenneth Gainwell TE Dalton Schultz WR Nico Collins WR Jameson Williams WR DK Metcalf,,,
1905,5007668906,gabrielsportscap (1/5),0,119.579994,DST Chiefs  FLEX Evan Engram QB Bo Nix RB Jahmyr Gibbs RB Aaron Jones Sr. TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Courtland Sutton WR DK Metcalf,,,
1905,5006550595,ElusiveSmoke (2/5),0,119.57999,DST Browns  FLEX Pat Freiermuth QB Kirk Cousins RB Bijan Robinson RB Kenneth Gainwell TE Travis Kelce WR Ja'Marr Chase WR Drake London WR DK Metcalf,,,
1909,5008130129,d_hanz08 (1/2),0,119.56001,DST Vikings  FLEX Bijan Robinson QB Jared Goff RB Bucky Irving RB Aaron Jones Sr. TE Jeremy Ruckert WR Amon-Ra St. Brown WR Ladd McConkey WR Kevin Austin Jr.,,,
