Season,GameWeek,Split,Team,PlayerID,IgnoreStatus,PassAttempts,RushAttempts,Targets,PassCompletions,PassYards,PassTDs,PassInts,RushYards,RushTDs,RecCompletions,RecYards,RecTDs,offPassFD,offPassIntTD,offPassTD9,offPassTD19,offPassTD29,offPassTD39,offPassTD49,offPassTD50,offPass2Pt,offPass40,offTimesSacked,offRushFD,offRushTD9,offRushTD19,offRushTD29,offRushTD39,offRushTD49,offRushTD50,offRush2Pt,offRush40,offRecFD,offRecTD9,offRecTD19,offRecTD29,offRecTD39,offRecTD49,offRecTD50,offRec2Pt,offRec40,offFumbles,offFumblesLost,offFumbleTD,specBlockedFGTD,specBlockedPuntTD,specFGAtt,specFGMade,specFGMade19,specFGMade29,specFGMade39,specFGMade49,specFGMade50,specFGMissed19,specFGMissed29,specFGMissed39,specFGMissed49,specFGMissed50,specFGTotalYds,specKORetAtt,specKORetTD,specKORetYds,specPuntRetAtt,specPuntRetTD,specPuntRetYds,specKickTotalTD,specKickRetYards,specXPAtt,specXPMade,defBlockedKick,defFumbles,defFumblesRec,defFumbReturnTDs,defFumRetYds,defIntReturnTDs,defIntRetYds,defPassDef,defPassInt,defReturnTds,defQBHit,defSacks,defSackYds,defSafeties,defSoloTackles,defTackles,defTFL,defXPReturn,def10TackleBonus,def2SackBonus,def3PassDefBonus,def4thDownStop,def50YdFumbBonus,def50YdIntBonus,specFGMade59,specFGMissed59,specFGMade60,specFGMissed60
2025,7,M,SEA,17772,0,0,0.335608,2.71656,0,0,0,0,1.403464701,0.012694405,1.604802582,21.37689939,0.190578107,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0.031700932,NULL,NULL,NULL,NULL,NULL,NULL,9.76E-05,0.000513129,0.636774046,NULL,NULL,NULL,NULL,NULL,NULL,0.003483168,0.039798378,0.020008004,0.008703482,0.000348139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,DEN,17773,0,NULL,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404134615,0.057733516,0,0.057733516,0,0,0,2.655741758,3.637211538,0.057733516,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,LAR,17775,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116295133,0.058147567,0,0,0,0,0.058147567,0,0,0.814065934,0.3488854,2.325902669,0,1.162951334,2.384050235,0.465180534,0,0,0.058147567,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,CLE,17777,0,NULL,0.14161,0.73695,NULL,NULL,NULL,NULL,0.82805473,0.00505131,0.430998804,4.315283629,0.032779577,0,0,0,0,0,0,0,0,0,0,0,0.014050858,0,0,0,0,0,0,9.12E-05,0.000227435,0.145968779,0,0,0,0,0,0,0.000253332,0.0069393,0.005894227,0.002563989,0.00010256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05782967,0,0.983104396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,JAX,17778,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.645586676,0.680932418,0.113488736,0,0.170233104,0.056744368,0.397210577,0,2.893962775,3.63163956,0.113488736,0,0,0,0.056744368,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,CIN,17780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,NO ,17782,0,34.7316,4.8452436,0,21.92470838,232.1830792,1.217079574,0.823283145,28.65320437,0.041203706,0,0,0,9.890064861,0.032294089,NULL,NULL,NULL,NULL,NULL,NULL,0.044404373,0.18759795,2.926651847,1.704734687,NULL,NULL,NULL,NULL,NULL,NULL,0.0051704,0.018097343,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.726938828,0.31621839,0.012648736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,SEA,17783,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101641758,0,0,0,0,0,0,0.863954945,1.118059341,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,TB ,17784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,ARI,17790,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046703297,0,0,0,0,0,0.046703297,0,0,0.233516484,0.116758242,0.607142857,0,0.747252747,1.260989011,0.093406593,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,CLE,17793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,HOU,17794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,GB ,17795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,KC ,17797,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.991338074,0.45520362,0.130058177,0,0,0,0,0,4.421978022,5.657530705,0.390174531,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,LAR,17799,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059891994,0.239567975,0.419243956,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,MIA,17800,0,0,0.516502,0.0294749,0,0,0,0,1.700972964,0.00736205,0.020272911,0.157622519,0.001375042,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0.085350537,NULL,NULL,NULL,NULL,NULL,NULL,0.000633811,0.005690036,0.005448156,NULL,NULL,NULL,NULL,NULL,NULL,3.26E-05,0.000328071,0.009289571,0.004040963,0.000161639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110164835,0,2.754120879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,PHI,17802,0,0,2.907918,0.509796,0,0,0,0,10.2463776,0.091649672,0.374430724,2.978977438,0.019859838,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0.59519927,NULL,NULL,NULL,NULL,NULL,NULL,0.003619864,0.011566895,0.076438902,NULL,NULL,NULL,NULL,NULL,NULL,0.000734912,0.006460224,0.039204968,0.017054161,0.000682166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378296703,0,9.14217033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,LAC,17803,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061702983,0,0,0,0,0,0,0,0,0.617029827,0.185108948,0.987247724,0,1.048950706,1.727683516,0.123405965,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,M,NYG,17804,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052130612,0,0,0,0.104261224,0.260653061,0.052130612,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
